vGen;Cuenta
0.16117216117216118;12.0
0.16117216117216118;14.0
0.16117216117216118;15.0
0.16117216117216118;13.0
0.16361416361416362;13.0
0.16361416361416362;16.0
0.16361416361416362;16.0
0.16361416361416362;16.0
0.16361416361416362;15.0
0.16605616605616605;15.0
0.16605616605616605;18.0
0.16605616605616605;14.0
0.16605616605616605;12.0
0.16605616605616605;12.0
0.1684981684981685;13.0
0.1684981684981685;11.0
0.1684981684981685;13.0
0.1684981684981685;13.0
0.1684981684981685;14.0
0.17094017094017094;17.0
0.17094017094017094;10.0
0.17094017094017094;16.0
0.17094017094017094;15.0
0.17094017094017094;16.0
0.17338217338217338;17.0
0.17338217338217338;13.0
0.17338217338217338;16.0
0.17338217338217338;15.0
0.17338217338217338;17.0
0.1758241758241758;13.0
0.1758241758241758;14.0
0.1758241758241758;13.0
0.1758241758241758;13.0
0.1758241758241758;13.0
0.17826617826617827;14.0
0.17826617826617827;14.0
0.17826617826617827;12.0
0.17826617826617827;19.0
0.17826617826617827;16.0
0.1807081807081807;13.0
0.1807081807081807;17.0
0.1807081807081807;15.0
0.1807081807081807;14.0
0.1807081807081807;14.0
0.18315018315018314;15.0
0.18315018315018314;15.0
0.18315018315018314;20.0
0.18315018315018314;17.0
0.18315018315018314;12.0
0.1855921855921856;16.0
0.1855921855921856;12.0
0.1855921855921856;17.0
0.1855921855921856;18.0
0.1855921855921856;13.0
0.18803418803418803;16.0
0.18803418803418803;16.0
0.18803418803418803;18.0
0.18803418803418803;14.0
0.18803418803418803;16.0
0.19047619047619047;14.0
0.19047619047619047;14.0
0.19047619047619047;16.0
0.19047619047619047;13.0
0.19047619047619047;17.0
0.19291819291819293;20.0
0.19291819291819293;14.0
0.19291819291819293;19.0
0.19291819291819293;15.0
0.19291819291819293;15.0
0.19536019536019536;13.0
0.19536019536019536;20.0
0.19536019536019536;14.0
0.19536019536019536;14.0
0.19536019536019536;17.0
0.1978021978021978;19.0
0.1978021978021978;18.0
0.1978021978021978;19.0
0.1978021978021978;15.0
0.1978021978021978;22.0
0.20024420024420025;14.0
0.20024420024420025;20.0
0.20024420024420025;16.0
0.20024420024420025;13.0
0.20024420024420025;17.0
0.2026862026862027;20.0
0.2026862026862027;17.0
0.2026862026862027;18.0
0.2026862026862027;19.0
0.2026862026862027;18.0
0.20512820512820512;16.0
0.20512820512820512;15.0
0.20512820512820512;20.0
0.20512820512820512;15.0
0.20512820512820512;17.0
0.20757020757020758;19.0
0.20757020757020758;17.0
0.20757020757020758;14.0
0.20757020757020758;23.0
0.20757020757020758;24.0
0.21001221001221002;21.0
0.21001221001221002;15.0
0.21001221001221002;16.0
0.21001221001221002;14.0
0.21001221001221002;16.0
0.21245421245421245;21.0
0.21245421245421245;18.0
0.21245421245421245;18.0
0.21245421245421245;20.0
0.21245421245421245;17.0
0.2148962148962149;14.0
0.2148962148962149;15.0
0.2148962148962149;17.0
0.2148962148962149;20.0
0.2148962148962149;13.0
0.21733821733821734;18.0
0.21733821733821734;18.0
0.21733821733821734;20.0
0.21733821733821734;20.0
0.21733821733821734;19.0
0.21978021978021978;19.0
0.21978021978021978;22.0
0.21978021978021978;21.0
0.21978021978021978;18.0
0.21978021978021978;22.0
0.2222222222222222;20.0
0.2222222222222222;17.0
0.2222222222222222;22.0
0.2222222222222222;14.0
0.2222222222222222;14.0
0.22466422466422467;17.0
0.22466422466422467;22.0
0.22466422466422467;18.0
0.22466422466422467;20.0
0.22466422466422467;18.0
0.2271062271062271;24.0
0.2271062271062271;19.0
0.2271062271062271;21.0
0.2271062271062271;21.0
0.2271062271062271;23.0
0.22954822954822954;19.0
0.22954822954822954;22.0
0.22954822954822954;20.0
0.22954822954822954;24.0
0.22954822954822954;21.0
0.231990231990232;23.0
0.231990231990232;16.0
0.231990231990232;19.0
0.231990231990232;21.0
0.231990231990232;17.0
0.23443223443223443;20.0
0.23443223443223443;23.0
0.23443223443223443;21.0
0.23443223443223443;23.0
0.23443223443223443;19.0
0.23687423687423687;22.0
0.23687423687423687;22.0
0.23687423687423687;21.0
0.23687423687423687;21.0
0.23687423687423687;17.0
0.23931623931623933;21.0
0.23931623931623933;22.0
0.23931623931623933;23.0
0.23931623931623933;21.0
0.23931623931623933;26.0
0.24175824175824176;19.0
0.24175824175824176;25.0
0.24175824175824176;22.0
0.24175824175824176;22.0
0.24175824175824176;21.0
0.2442002442002442;21.0
0.2442002442002442;26.0
0.2442002442002442;23.0
0.2442002442002442;20.0
0.2442002442002442;21.0
0.24664224664224665;22.0
0.24664224664224665;25.0
0.24664224664224665;22.0
0.24664224664224665;25.0
0.24664224664224665;19.0
0.2490842490842491;22.0
0.2490842490842491;19.0
0.2490842490842491;23.0
0.2490842490842491;18.0
0.2490842490842491;24.0
0.2515262515262515;26.0
0.2515262515262515;25.0
0.2515262515262515;25.0
0.2515262515262515;29.0
0.2515262515262515;22.0
0.25396825396825395;24.0
0.25396825396825395;23.0
0.25396825396825395;25.0
0.25396825396825395;22.0
0.25396825396825395;20.0
0.2564102564102564;27.0
0.2564102564102564;22.0
